inst#,actual,predicted,error
1,363,356.693,-6.307
2,452,332.6,-119.4
3,452,284.856,-167.144
4,158,302.704,144.704
5,452,311.004,-140.996
6,158,293.155,135.155
7,452,342.148,-109.852
8,234,324.3,90.3
1,452,341.987,-110.013
2,158,313.059,155.059
3,452,299.801,-152.199
4,158,331.453,173.453
5,452,308.16,-143.84
6,452,327.522,-124.478
7,128,297.13,169.13
8,452,295.273,-156.727
1,355,345.981,-9.019
2,5,315.932,310.932
3,452,322.957,-129.043
4,0,331.146,331.146
5,193,292.955,99.955
6,452,276.864,-175.136
7,452,284.056,-167.944
8,452,294.903,-157.097
1,0,290.388,290.388
2,158,308.849,150.849
3,158,345.77,187.77
4,355,299.618,-55.382
5,452,336.54,-115.46
6,503,327.309,-175.691
7,592,318.152,-273.848
8,158,281.158,123.158
1,452,310.479,-141.521
2,242,292.247,50.247
3,452,300.356,-151.644
4,158,332.236,174.236
5,355,325.637,-29.363
6,158,342.359,184.359
7,158,281.62,123.62
1,355,282.012,-72.988
2,158,292.284,134.284
3,158,313.137,155.137
4,144,344.418,200.418
5,200,333.991,133.991
6,452,302.399,-149.601
7,452,323.149,-128.851
1,5,281.531,276.531
2,452,313.836,-138.164
3,158,329.364,171.364
4,452,327.705,-124.295
5,452,298.308,-153.692
6,158,339.386,181.386
7,452,303.678,-148.322
1,158,309.023,151.023
2,158,299.344,141.344
3,158,319.108,161.108
4,452,295.321,-156.679
5,158,338.871,180.871
6,452,336.277,-115.723
7,158,279.58,121.58
1,0,350.218,350.218
2,158,323.013,165.013
3,452,263.215,-188.785
4,157,278.314,121.314
5,158,283.883,125.883
6,272,312.634,40.634
7,452,302.04,-149.96
1,452,293.712,-158.288
2,452,321.225,-130.775
3,158,337.014,179.014
4,158,279.009,121.009
5,452,333.429,-118.571
6,158,298.344,140.344
7,158,317.679,159.679

