inst#,actual,predicted,error
1,363,285.955,-77.045
2,452,332.272,-119.728
3,452,335.844,-116.156
4,158,242.47,84.47
5,452,276.513,-175.487
6,158,242.47,84.47
7,452,332.598,-119.402
8,234,257.816,23.816
1,452,280.435,-171.565
2,158,246.327,88.327
3,452,316.816,-135.184
4,158,257.181,99.181
5,452,322.016,-129.984
6,452,327.879,-124.121
7,128,250.115,122.115
8,452,317.324,-134.676
1,355,309.038,-45.962
2,5,264.01,259.01
3,452,334.253,-117.747
4,0,328.365,328.365
5,193,342.987,149.987
6,452,329.791,-122.209
7,452,343.913,-108.087
8,452,329.791,-122.209
1,0,238.678,238.678
2,158,230.832,72.832
3,158,235.894,77.894
4,355,321.378,-33.622
5,452,344.292,-107.708
6,503,235.894,-267.106
7,592,324.427,-267.573
8,158,235.894,77.894
1,452,321.053,-130.947
2,242,240.658,-1.342
3,452,344.907,-107.093
4,158,236.284,78.284
5,355,325.092,-29.908
6,158,236.284,78.284
7,158,236.284,78.284
1,355,314.799,-40.201
2,158,246.743,88.743
3,158,246.743,88.743
4,144,317.756,173.756
5,200,340.209,140.209
6,452,336.362,-115.638
7,452,335.752,-116.248
1,5,272.898,267.898
2,452,324.51,-127.49
3,158,254.289,96.289
4,452,324.51,-127.49
5,452,327.181,-124.819
6,158,254.289,96.289
7,452,322.777,-129.223
1,158,228.308,70.308
2,158,241.559,83.559
3,158,241.559,83.559
4,452,329.741,-122.259
5,158,241.559,83.559
6,452,336.807,-115.193
7,158,241.559,83.559
1,0,344.217,344.217
2,158,246.995,88.995
3,452,338.188,-113.812
4,157,343.819,186.819
5,158,246.995,88.995
6,272,248.24,-23.76
7,452,339.173,-112.827
1,452,336.348,-115.652
2,452,333.246,-118.754
3,158,244.205,86.205
4,158,244.205,86.205
5,452,338.618,-113.382
6,158,244.205,86.205
7,158,244.205,86.205

