@relation snp_density_train

@attribute 'Sample #' {UNCC-000042,UNCC-000082,UNCC-000083,UNCC-000107,UNCC-000113,UNCC-000127,UNCC-000129,UNCC-000135,UNCC-000137,UNCC-000145,UNCC-000170,UNCC-000171,UNCC-000172,UNCC-000176,UNCC-000274,UNCC-000281,UNCC-000289,UNCC-000362,UNCC-000364,UNCC-000366,UNCC-000367,UNCC-000368,UNCC-000369,UNCC-000370,UNCC-000371,UNCC-000374,UNCC-000376,UNCC-000379,UNCC-000380,UNCC-000382,UNCC-000383,UNCC-000384,UNCC-000385,UNCC-000386,UNCC-000387,UNCC-000388,UNCC-000389,UNCC-000390,UNCC-000391,UNCC-000392,UNCC-000393,UNCC-000394,UNCC-000395,UNCC-000396,UNCC-000397,UNCC-000398,UNCC-000399,UNCC-000400,UNCC-000403,UNCC-000404,UNCC-000405,UNCC-000406,UNCC-000408,UNCC-000409,UNCC-000410,UNCC-000411,UNCC-000412,UNCC-000413,UNCC-000414,UNCC-000415,UNCC-000416,UNCC-000417,UNCC-000418,UNCC-000419,UNCC-000420,UNCC-000422,UNCC-000423,UNCC-000424,UNCC-000425,UNCC-000426,UNCC-000427,UNCC-000428,UNCC-000429,UNCC-000430,UNCC-000431,UNCC-000432,UNCC-000433,UNCC-000434,UNCC-000435,UNCC-000436,UNCC-000437,UNCC-000453,UNCC-000454,UNCC-000455,UNCC-000456,UNCC-000488,UNCC-000509,UNCC-000514,UNCC-000542,UNCC-000547,UNCC-000551,UNCC-000556,UNCC-000593,UNCC-000594,UNCC-000595,UNCC-000596,UNCC-000597,UNCC-000598,UNCC-000599,UNCC-000600,UNCC-000601,UNCC-000602,UNCC-000603,UNCC-000604,UNCC-000605,UNCC-000606,UNCC-000607,UNCC-000608,UNCC-000609,UNCC-000610,UNCC-000611,UNCC-000612,UNCC-000613,UNCC-000614,UNCC-000615,UNCC-000616,UNCC-000617,UNCC-000618,UNCC-000619,UNCC-000620,UNCC-000621,UNCC-000622,UNCC-000623,UNCC-000624,UNCC-000625,UNCC-000626,UNCC-000628,UNCC-000629,UNCC-000630,UNCC-000631,UNCC-000632,UNCC-000635,UNCC-000638}
@attribute snp_density_total numeric
@attribute snp_density_1 numeric
@attribute snp_density_2 numeric
@attribute snp_density_3 numeric
@attribute time_range numeric

@data
UNCC-000042,0.766667,7,6,9,452
UNCC-000082,1.2,11,4,19,452
UNCC-000083,1.633333,22,6,20,452
UNCC-000107,0.6,5,3,9,452
UNCC-000113,0.633333,5,3,9,452
UNCC-000127,1.066667,5,4,16,452
UNCC-000129,0.633333,5,3,8,0
UNCC-000135,0.566667,5,5,5,158
UNCC-000137,0.533333,5,5,5,158
UNCC-000145,0.7,5,6,8,144
UNCC-000170,0.9,6,8,12,452
UNCC-000171,1,10,9,10,452
UNCC-000172,1.733333,17,10,22,318
UNCC-000176,1.366667,8,8,23,318
UNCC-000274,1.233333,7,9,18,318
UNCC-000274,1.233333,7,9,18,318
UNCC-000281,1.133333,6,8,18,318
UNCC-000281,1.133333,6,8,18,318
UNCC-000289,2.633333,26,22,26,503
UNCC-000362,1.4,10,6,24,318
UNCC-000364,1.166667,6,7,20,318
UNCC-000364,1.166667,6,7,20,318
UNCC-000366,1.266667,7,10,18,318
UNCC-000367,1.166667,3,7,24,104
UNCC-000368,1.133333,5,8,19,318
UNCC-000369,2.4,7,28,34,318
UNCC-000369,2.4,7,28,34,318
UNCC-000370,1.3,7,10,19,318
UNCC-000371,0.9,2,7,17,104
UNCC-000374,0.9,8,3,13,452
UNCC-000376,0.866667,8,3,13,452
UNCC-000379,1.1,7,9,16,452
UNCC-000380,0.7,7,5,8,452
UNCC-000382,0.633333,6,3,9,452
UNCC-000383,0.633333,6,3,9,452
UNCC-000384,0.633333,6,3,9,452
UNCC-000385,0.633333,6,3,9,452
UNCC-000386,0.7,5,4,11,452
UNCC-000387,0.7,6,5,9,592
UNCC-000388,0.5,5,2,7,128
UNCC-000389,0.766667,5,7,10,174
UNCC-000390,0.5,4,6,4,355
UNCC-000391,0.433333,3,5,4,355
UNCC-000392,1.433333,3,8,17,452
UNCC-000393,0.7,4,5,11,452
UNCC-000394,0.666667,4,5,10,224
UNCC-000395,0.533333,4,2,8,272
UNCC-000396,0.433333,3,5,4,355
UNCC-000397,0.733333,5,4,12,452
UNCC-000398,0.733333,4,10,7,0
UNCC-000399,0.533333,4,2,9,452
UNCC-000400,0.866667,7,8,10,452
UNCC-000403,0.466667,3,3,6,193
UNCC-000404,0.933333,11,6,10,452
UNCC-000405,0.7,3,6,11,174
UNCC-000406,0.8,6,5,12,452
UNCC-000408,0.6,5,4,8,452
UNCC-000409,0.433333,4,5,3,355
UNCC-000410,0.7,3,6,11,174
UNCC-000411,0.733333,3,7,11,174
UNCC-000412,0.733333,3,7,11,174
UNCC-000413,0.8,6,4,13,122
UNCC-000414,0.6,5,4,8,452
UNCC-000415,0.7,4,7,9,452
UNCC-000416,0.6,4,7,6,255
UNCC-000417,0.466667,3,5,5,65
UNCC-000418,0.766667,5,6,11,452
UNCC-000419,0.433333,3,5,4,65
UNCC-000420,0.866667,6,4,14,227
UNCC-000422,1.133333,4,6,23,592
UNCC-000423,0.733333,5,7,8,255
UNCC-000424,0.7,4,5,11,592
UNCC-000425,0.666667,3,5,11,592
UNCC-000426,0.7,3,6,11,174
UNCC-000427,0.7,3,6,11,174
UNCC-000428,0.633333,5,5,8,452
UNCC-000429,0.8,6,5,12,452
UNCC-000429,0.8,6,5,12,452
UNCC-000430,0.7,3,6,11,174
UNCC-000431,0.733333,4,6,11,174
UNCC-000432,0.466667,4,5,4,355
UNCC-000433,1.333333,15,7,16,125
UNCC-000434,0.8,6,5,12,452
UNCC-000435,0.733333,3,7,11,174
UNCC-000436,0.7,3,6,11,174
UNCC-000437,0.8,6,5,12,452
UNCC-000453,0.8,6,6,11,452
UNCC-000454,1.066667,9,3,18,211
