Sample #,snp_density_total,snp_density_1,snp_density_2,snp_density_3,time_range
UNCC-000042,0.7666666666666666,7,6,9,452
UNCC-000082,1.2000000000000002,11,4,19,452
UNCC-000083,1.6333333333333333,22,6,20,452
UNCC-000107,0.6,5,3,9,452
UNCC-000113,0.6333333333333333,5,3,9,452
UNCC-000127,1.0666666666666667,5,4,16,452
UNCC-000129,0.6333333333333333,5,3,8,0
UNCC-000135,0.5666666666666667,5,5,5,158
UNCC-000137,0.5333333333333333,5,5,5,158
UNCC-000145,0.7,5,6,8,144
UNCC-000170,0.8999999999999999,6,8,12,452
UNCC-000171,0.9999999999999999,10,9,10,452
UNCC-000172,1.7333333333333334,17,10,22,318
UNCC-000176,1.3666666666666667,8,8,23,318
UNCC-000274,1.2333333333333332,7,9,18,318
UNCC-000274,1.2333333333333332,7,9,18,318
UNCC-000281,1.1333333333333333,6,8,18,318
UNCC-000281,1.1333333333333333,6,8,18,318
UNCC-000289,2.6333333333333337,26,22,26,503
UNCC-000362,1.4,10,6,24,318
UNCC-000364,1.1666666666666667,6,7,20,318
UNCC-000364,1.1666666666666667,6,7,20,318
UNCC-000366,1.2666666666666666,7,10,18,318
UNCC-000367,1.166666666666667,3,7,24,104
UNCC-000368,1.1333333333333333,5,8,19,318
UNCC-000369,2.4000000000000004,7,28,34,318
UNCC-000369,2.4000000000000004,7,28,34,318
UNCC-000370,1.2999999999999998,7,10,19,318
UNCC-000371,0.8999999999999999,2,7,17,104
UNCC-000374,0.8999999999999999,8,3,13,452
UNCC-000376,0.8666666666666666,8,3,13,452
UNCC-000379,1.0999999999999999,7,9,16,452
UNCC-000380,0.7,7,5,8,452
UNCC-000382,0.6333333333333333,6,3,9,452
UNCC-000383,0.6333333333333333,6,3,9,452
UNCC-000384,0.6333333333333333,6,3,9,452
UNCC-000385,0.6333333333333333,6,3,9,452
UNCC-000386,0.7,5,4,11,452
UNCC-000387,0.7,6,5,9,592
UNCC-000388,0.5,5,2,7,128
UNCC-000389,0.7666666666666666,5,7,10,174
UNCC-000390,0.49999999999999994,4,6,4,355
UNCC-000391,0.4333333333333333,3,5,4,355
UNCC-000392,1.4333333333333333,3,8,17,452
UNCC-000393,0.7,4,5,11,452
UNCC-000394,0.6666666666666666,4,5,10,224
UNCC-000395,0.5333333333333333,4,2,8,272
UNCC-000396,0.4333333333333333,3,5,4,355
UNCC-000397,0.7333333333333333,5,4,12,452
UNCC-000398,0.7333333333333333,4,10,7,0
UNCC-000399,0.5333333333333333,4,2,9,452
UNCC-000400,0.8666666666666666,7,8,10,452
UNCC-000403,0.4666666666666666,3,3,6,193
